[2019-08-15T14:27:42]: [System] bd [0] ch [1] par [IMonH] val [11.85]; 
[2019-08-15T14:27:43]: [System] bd [0] ch [1] par [VMon] val [5000.4]; 
[2019-08-15T14:27:43]: [System] bd [0] ch [1] par [IMonH] val [11.8]; 
[2019-08-15T14:27:46]: [System] bd [0] ch [1] par [IMonH] val [11.85]; 
[2019-08-15T14:27:46]: [System] bd [0] ch [1] par [VMon] val [5000.2]; 
[2019-08-15T14:27:46]: [System] bd [0] ch [1] par [IMonH] val [11.8]; 
[2019-08-15T14:27:48]: [System] bd [0] ch [1] par [VMon] val [5000.4]; 
[2019-08-15T14:27:48]: [System] bd [0] ch [1] par [IMonH] val [11.9]; 
[2019-08-15T14:27:49]: [System] bd [0] ch [1] par [IMonH] val [11.75]; 
[2019-08-15T14:27:49]: [System] bd [0] ch [1] par [IMonH] val [11.8]; 
[2019-08-15T14:27:55]: [System] bd [0] ch [1] par [IMonH] val [11.85]; 
[2019-08-15T14:27:55]: [System] bd [0] ch [1] par [IMonH] val [11.8]; 
[2019-08-15T14:27:58]: [System] bd [0] ch [1] par [VMon] val [5000.2]; 
[2019-08-15T14:27:58]: [System] bd [0] ch [1] par [VMon] val [5000.4]; 
[2019-08-15T14:28:02]: [System] bd [0] ch [2] par [IMonH] val [533.85]; 
[2019-08-15T14:28:03]: [System] bd [0] ch [2] par [IMonH] val [533.9]; 
[2019-08-15T14:28:04]: [System] bd [0] ch [1] par [IMonH] val [11.9]; 
[2019-08-15T14:28:04]: [System] bd [0] ch [1] par [IMonH] val [11.8]; 
[2019-08-15T14:28:04]: [System] bd [0] ch [2] par [IMonH] val [533.85]; 
[2019-08-15T14:28:05]: [System] bd [0] ch [0] par [VMon] val [4974.6]; 
[2019-08-15T14:28:05]: [System] bd [0] ch [1] par [VMon] val [5000.2]; 
[2019-08-15T14:28:05]: [System] bd [0] ch [2] par [VMon] val [502.2]; 
[2019-08-15T14:28:05]: [System] bd [0] ch [3] par [VMon] val [1.4]; 
[2019-08-15T14:28:05]: [System] bd [0] ch [1] par [IMonH] val [8.5]; 
[2019-08-15T14:28:05]: [System] bd [0] ch [2] par [IMonH] val [534.55]; 
[2019-08-15T14:28:06]: [System] bd [0] ch [0] par [VMon] val [5000.4]; 
[2019-08-15T14:28:06]: [System] bd [0] ch [1] par [VMon] val [5000.4]; 
[2019-08-15T14:28:06]: [System] bd [0] ch [2] par [VMon] val [499.6]; 
[2019-08-15T14:28:06]: [System] bd [0] ch [3] par [VMon] val [0]; 
[2019-08-15T14:28:06]: [System] bd [0] ch [1] par [IMonH] val [11.8]; 
[2019-08-15T14:28:06]: [System] bd [0] ch [2] par [IMonH] val [533.9]; 
[2019-08-15T14:28:07]: [System] bd [0] ch [2] par [IMonH] val [533.85]; 
[2019-08-15T14:28:09]: [System] bd [0] ch [1] par [IMonH] val [11.75]; 
